PlayerName,PlayerNick,has_alias,description
1043-6020,gofot,,
1065-9658,osher25,,
1073-4522,Bangi18,,
1107-4171,asraf tak,,
1129-8065,just mazal,,
1188-3002,Ai_connection,,
1194-6103,Balatagdola,,
1277-8189,haim1976,,
1289-3925,Maayang0904,,
1311-4596,Yk83,,
1311-6787,roybenezra,,
1324-7633,Goni55555,,
1332-6371,asirizla,,
1364-0474,DoNinja,,
1473-1820,Federer05,,
1497-1349,Star539,,
1500-0296,zina1107,,
1511-4938,Kobikobi0,,
1524-6285,BAMBA11122,,
1556-3720,Tomeriko11,,
1573-1410,Davidy,,
1590-2030,Mr thankyou,,
1606-0191,mikos1306,,
1651-2538,tan tilcham,,
1665-3595,Jirba,,
1680-7588,Mr bo1,,
1685-8816,GORILA,,
1687-2963,AdamNv,,
1690-4333,sharon king,,
1718-7948,Tal52,,
1737-2733,FLOKI A DREAMER,,
1775-5860,SendMessages,,
1797-1325,Always in tilt@,,
1810-6592,Apollo creed123,,
1879-6107,Asoosi,,
1904-3445,ShovalZr,,
1905-2704,izo77,,
1913-4571,kobi99kkk,,
1915-3903,Bot Albart,,
1941-9146,babunika,,
2016-8040,motisho,,
2063-3466,ShukVortex,,
2063-6399,Kogomalo,,
2097-5562,Totem zzz1,,
2100-8041,BIBIDONY,,
2106-5903,onlyOnU,,
2121-1637,Dandiiiii,,
2123-6342,TaltolonTilt88,,
2126-4582,Julio6644,,
2131-9419,Tonyrrrr,,
2136-2331,xNSFWgg,,
2164-6526,Shigidigi,,
2241-0839,messi77L,,
2322-5519,Janglist,,
2411-2939,Agent CNX ISR,,
2422-2391,lo mker keev,,
2434-6836,Black Betty xxx,,
2464-1618,Postshawarma,,
2471-1723,Jone 1212,,
2473-8482,pais777,,
2485-2356,hila888,,
2486-5895,rockicards,,
2502-8412,Juggernaut1081,,
2517-3519,W_T_V_27,,
2553-3721,Maneeki neKo,,
2576-1945,Salvadorrr,,
2579-7035,BenZi23,,
2592-5898,BLTD,,
2605-5117,Last-Chanse,,
2614-3852,gimalifitt,,
2634-0368,messi1502,,
2663-3496,Z Z 7 7 Z Z,,
2691-6498,Jackharahara,,
2711-9285,jhonny489,,
2780-8099,Yankalle,,
2799-5402,Jovani111,,
2816-8089,Hashamen,,
2818-0437,thegreatgiraffe,,
2851-5365,Sayek1,,
2892-9371,bong33amnon,,
2936-3877,Miryamc,,
2952-4482,weee123445,,
2970-3292,Zamir Shtikim,,
2987-1339,Walterw12,,
