player_nick,hands_played,total_net_won
pokerkiddo0707,71705,4839465.59
max35913,31,593918.0
giora,66,566536.0
Narutohazain,69,533734.0
Kivsiyahu,20,518961.0
Yosef Bren,30,337216.0
Ik900,157,327810.81
dudib7,69,314407.0
Noamkiller,67,279157.0
9Ba Gova,298,270084.78
LilRafiki,139,-72527.42
Sharonyosef,24,-78088.0
7levadom7,113,-79334.09
Grande Milan,29,-84458.0
BENsiii,261,-96048.96
Nahsholim007,288,-98215.26
Talgti,55,-109306.0
rjll10,152,-110865.54
Felusiii,416,-459353.23
Momin Abba,78,-619626.0
